date,bond,maturity_date,ttm,kaup,krafa
2026-03-19,RIKB 26 1015,2026-10-15,0.5749486652977412,99.34,7.87
2026-03-19,RIKB 27 0415,2027-04-15,1.0732375085557837,100.25,7.73
2026-03-19,RIKB 28 1115,2028-11-15,2.6611909650924024,94.16,7.49
2026-03-19,RIKB 31 0124,2031-01-24,4.851471594798084,96.61,7.35
2026-03-19,RIKB 35 0917,2035-09-17,9.49760438056126,100.2,6.96
2026-03-19,RIKB 38 0215,2038-02-15,11.912388774811772,96.65,6.92
2026-03-19,RIKB 42 0217,2042-02-17,15.917864476386036,78.6,6.73
2026-03-19,RIKS 29 0917,2029-09-17,3.498973305954826,102.15,2.84
2026-03-19,RIKS 30 0701,2030-07-01,4.284736481861739,101.55,2.86
2026-03-19,RIKS 33 0321,2033-03-21,7.006160164271047,100.9,2.86
2026-03-19,RIKS 37 0115,2037-01-15,10.82819986310746,83.77,2.76
2026-03-19,RIKS 50 0915,2050-09-15,24.49281314168378,115.21,2.65
2026-03-20,RIKB 26 1015,2026-10-15,0.5722108145106092,99.33,7.91
2026-03-20,RIKB 27 0415,2027-04-15,1.0704996577686516,100.19,7.79
2026-03-20,RIKB 28 1115,2028-11-15,2.6584531143052703,94.02,7.56
2026-03-20,RIKB 31 0124,2031-01-24,4.848733744010952,96.15,7.47
2026-03-20,RIKB 35 0917,2035-09-17,9.494866529774129,99.58,7.05
2026-03-20,RIKB 38 0215,2038-02-15,11.90965092402464,96.33,6.96
2026-03-20,RIKB 42 0217,2042-02-17,15.915126625598903,77.54,6.86
2026-03-20,RIKS 29 0917,2029-09-17,3.4962354551676933,102.1,2.86
2026-03-20,RIKS 30 0701,2030-07-01,4.2819986310746065,101.41,2.89
2026-03-20,RIKS 33 0321,2033-03-21,7.003422313483915,100.8,2.87
2026-03-20,RIKS 37 0115,2037-01-15,10.825462012320328,83.25,2.82
2026-03-20,RIKS 50 0915,2050-09-15,24.490075290896645,114.51,2.68
2026-03-21,RIKB 26 1015,2026-10-15,0.5694729637234771,99.33,7.91
2026-03-21,RIKB 27 0415,2027-04-15,1.0677618069815196,100.19,7.79
2026-03-21,RIKB 28 1115,2028-11-15,2.6557152635181382,94.02,7.56
2026-03-21,RIKB 31 0124,2031-01-24,4.84599589322382,96.15,7.47
2026-03-21,RIKB 35 0917,2035-09-17,9.492128678986996,99.58,7.05
2026-03-21,RIKB 38 0215,2038-02-15,11.906913073237508,96.33,6.96
2026-03-21,RIKB 42 0217,2042-02-17,15.912388774811772,77.54,6.86
2026-03-21,RIKS 29 0917,2029-09-17,3.4934976043805612,102.1,2.86
2026-03-21,RIKS 30 0701,2030-07-01,4.2792607802874745,101.41,2.89
2026-03-21,RIKS 33 0321,2033-03-21,7.000684462696783,100.8,2.87
2026-03-21,RIKS 37 0115,2037-01-15,10.822724161533197,83.25,2.82
2026-03-21,RIKS 50 0915,2050-09-15,24.487337440109513,114.51,2.68
2026-03-22,RIKB 26 1015,2026-10-15,0.5667351129363449,99.33,7.91
2026-03-22,RIKB 27 0415,2027-04-15,1.0650239561943875,100.19,7.79
2026-03-22,RIKB 28 1115,2028-11-15,2.652977412731006,94.02,7.56
2026-03-22,RIKB 31 0124,2031-01-24,4.843258042436688,96.15,7.47
2026-03-22,RIKB 35 0917,2035-09-17,9.489390828199864,99.58,7.05
2026-03-22,RIKB 38 0215,2038-02-15,11.904175222450377,96.33,6.96
2026-03-22,RIKB 42 0217,2042-02-17,15.90965092402464,77.54,6.86
2026-03-22,RIKS 29 0917,2029-09-17,3.490759753593429,102.1,2.86
2026-03-22,RIKS 30 0701,2030-07-01,4.276522929500342,101.41,2.89
2026-03-22,RIKS 33 0321,2033-03-21,6.997946611909651,100.8,2.87
2026-03-22,RIKS 37 0115,2037-01-15,10.819986310746064,83.25,2.82
2026-03-22,RIKS 50 0915,2050-09-15,24.484599589322382,114.51,2.68
2026-04-07,RIKB 26 1015,2026-10-15,0.5229295003422314,99.32,8.01
2026-04-07,RIKB 27 0415,2027-04-15,1.0212183436002737,100.13,7.86
2026-04-07,RIKB 28 1115,2028-11-15,2.6091718001368926,93.61,7.79
2026-04-07,RIKB 31 0124,2031-01-24,4.799452429842574,96.12,7.48
2026-04-07,RIKB 35 0917,2035-09-17,9.44558521560575,99.55,7.06
2026-04-07,RIKB 38 0215,2038-02-15,11.860369609856264,96.5,6.94
2026-04-07,RIKB 42 0217,2042-02-17,15.865845311430528,77.7,6.85
2026-04-07,RIKS 29 0917,2029-09-17,3.4469541409993156,102.21,2.81
2026-04-07,RIKS 30 0701,2030-07-01,4.232717316906228,101.58,2.85
2026-04-07,RIKS 33 0321,2033-03-21,6.954140999315538,100.91,2.85
2026-04-07,RIKS 37 0115,2037-01-15,10.77618069815195,83.75,2.77
2026-04-07,RIKS 50 0915,2050-09-15,24.44079397672827,114.59,2.68
